employee_id,nationality_group,industry,job_category,monthly_salary_kwd,start_date,end_date,reason_for_leaving,filed_dispute
1068,South Asian,Hospitality,Cook,206.48,2015-04-17,2016-05-26,Resignation,0
1069,Southeast Asian,Hospitality,Accountant,376.45,2007-12-12,2017-06-28,Resignation,0
1070,South Asian,IT,Cook,160.67,2015-09-28,2020-11-13,Resignation,0
1071,Southeast Asian,Retail,Cook,210.22,2011-06-30,2014-01-11,Resignation,0
1072,South Asian,Oil & Gas,Driver,124.91,2009-09-17,2014-06-12,Resignation,0
1073,Western,Hospitality,Helper,138.03,2017-08-02,2021-07-06,Termination,0
1074,South Asian,Retail,Engineer,930.33,2008-04-22,2015-10-15,Termination,0
1075,South Asian,Construction,Plumber,229.18,2004-01-05,2011-12-20,Resignation,0
1076,Arab,Construction,Driver,160.26,2007-09-04,2015-03-25,Resignation,0
1077,Southeast Asian,Construction,Plumber,128.3,2012-04-23,2022-02-20,Resignation,0
1078,South Asian,Construction,Labourer,124.41,2019-01-11,2021-01-01,Termination,0
1079,African,Health,Labourer,101.36,2015-05-02,2023-02-20,Resignation,0
1080,South Asian,Construction,Accountant,280.73,2008-09-08,2017-07-09,Resignation,0
1081,South Asian,Logistics,Manager,883.25,2008-06-13,2020-05-21,Resignation,0
1082,South Asian,Finance,Clerk,170.21,2002-09-15,2011-04-17,Resignation,1
1083,South Asian,Construction,Labourer,101.35,2017-11-06,2020-02-08,Resignation,0
1084,South Asian,Hospitality,Clerk,246.82,2001-06-05,2011-04-01,Contract End,0
1085,South Asian,Retail,Cook,146.72,2006-11-08,2012-08-15,Contract End,0
1086,African,Oil & Gas,Driver,157.29,2015-12-11,2019-10-05,Termination,1
1087,Western,Hospitality,IT Professional,625.44,2004-10-08,2010-02-09,Resignation,0
1088,Western,IT,Helper,147.4,2012-12-28,2018-12-05,Resignation,0
1089,Southeast Asian,Oil & Gas,Nurse,402.11,2011-06-28,2020-02-25,Termination,0
1090,South Asian,Construction,Cook,198.59,2003-10-20,2014-10-11,Resignation,0
1091,South Asian,IT,Driver,193.14,2012-01-29,2018-02-18,Resignation,0
1092,Southeast Asian,Oil & Gas,Clerk,235.14,2009-10-20,2018-06-19,Termination,0
1093,South Asian,Hospitality,Plumber,235.39,2006-10-27,2011-07-05,Resignation,0
1094,Southeast Asian,Construction,Clerk,218.97,2016-11-15,2019-06-24,Termination,0
1095,South Asian,Construction,Driver,167.71,2006-09-17,2015-04-28,Termination,0
1096,Arab,Construction,Manager,1861.32,2017-07-06,2018-09-09,Termination,0
1097,African,Finance,Cook,185.67,2013-05-23,2022-07-31,Resignation,0
1098,Southeast Asian,Health,Helper,149.88,2010-06-27,2013-10-31,Resignation,0
1099,Arab,Construction,Clerk,205.46,2009-07-12,2011-02-05,Termination,1
1100,South Asian,Construction,Engineer,987.38,2007-10-10,2012-09-06,Resignation,0
1101,Southeast Asian,Hospitality,Electrician,132.86,2008-08-27,2019-04-07,Resignation,0
1102,South Asian,Retail,Labourer,120.97,2001-04-12,2011-10-25,Contract End,0
1103,Western,Oil & Gas,Nurse,569.46,2014-12-22,2021-03-12,Resignation,0
1104,South Asian,IT,Nurse,537.41,2008-02-24,2019-05-15,Resignation,0
1105,Arab,IT,Driver,195.73,2018-05-09,2019-09-25,Termination,0
1106,South Asian,Retail,Clerk,222.04,2016-02-09,2018-10-12,Termination,1
1107,Arab,Oil & Gas,Labourer,130.6,2006-04-13,2016-02-17,Resignation,0
1108,Southeast Asian,Construction,Accountant,234.68,2004-01-17,2013-10-13,Termination,1
1109,South Asian,Logistics,Engineer,1122.61,2011-09-27,2016-11-30,Termination,1
1110,South Asian,Logistics,Electrician,186.38,2018-03-14,2023-12-20,Resignation,0
1111,South Asian,Construction,Labourer,127.02,2016-11-06,2021-11-18,Resignation,0
1112,South Asian,Construction,Accountant,311.0,2009-05-23,2019-03-10,Resignation,0
1113,Western,Construction,IT Professional,386.24,2011-06-18,2018-10-03,Resignation,0
1114,South Asian,Construction,Labourer,129.67,2013-12-20,2017-11-10,Termination,0
1115,Southeast Asian,IT,Electrician,126.64,2011-03-29,2014-05-09,Resignation,0
1116,South Asian,Retail,Cook,162.43,2010-03-08,2014-05-12,Resignation,0
1117,South Asian,IT,Electrician,162.37,2011-04-23,2015-01-28,Termination,0
1118,South Asian,Oil & Gas,Labourer,125.97,2018-02-21,2022-03-09,Resignation,0
1119,Southeast Asian,Oil & Gas,Manager,1874.41,2006-08-23,2018-07-16,Resignation,0
1120,South Asian,Construction,Nurse,355.66,2003-11-22,2015-04-05,Contract End,0
1121,Arab,Hospitality,Driver,148.57,2007-05-25,2019-01-23,Resignation,0
1122,Southeast Asian,IT,Labourer,129.16,2018-06-02,2020-03-03,Termination,0
1123,South Asian,Health,Electrician,138.58,2003-02-08,2014-06-19,Termination,0
1124,Southeast Asian,Hospitality,IT Professional,268.85,2021-12-29,2023-10-15,Resignation,0
1125,Southeast Asian,Finance,Driver,152.42,2020-09-15,2024-07-05,Termination,1
1126,Southeast Asian,Construction,Accountant,202.4,2012-12-04,2015-05-19,Termination,0
1127,Southeast Asian,Construction,Nurse,405.01,2018-04-29,2019-06-18,Resignation,0
1128,Southeast Asian,Hospitality,Clerk,238.35,2010-01-22,2015-10-05,Resignation,0
1129,South Asian,Construction,Accountant,319.87,2008-12-23,2013-05-17,Resignation,0
1130,Arab,Finance,Driver,165.4,2008-10-16,2017-05-07,Termination,0
1131,South Asian,Logistics,Driver,178.59,2015-09-11,2021-03-14,Resignation,0
1132,Southeast Asian,Retail,Electrician,220.77,2003-05-14,2014-06-27,Resignation,0
1133,Southeast Asian,Retail,Electrician,167.71,2015-09-24,2016-12-05,Resignation,1
1134,Southeast Asian,Hospitality,IT Professional,603.56,2000-03-29,2010-02-05,Resignation,0
1135,Arab,Retail,Nurse,386.12,2012-10-10,2019-12-13,Resignation,0
1136,South Asian,Hospitality,Electrician,164.22,2012-01-02,2017-11-21,Resignation,0
1137,South Asian,Oil & Gas,IT Professional,456.62,2004-04-03,2014-09-18,Contract End,0
1138,Arab,Construction,Engineer,724.22,2009-08-17,2015-06-03,Contract End,0
1139,African,Oil & Gas,Accountant,290.83,2009-02-09,2021-01-12,Termination,0
1140,South Asian,Logistics,Engineer,773.52,2011-01-07,2021-06-19,Resignation,0
1141,South Asian,Health,Engineer,743.21,2015-05-10,2020-05-27,Termination,1
1142,South Asian,Oil & Gas,Cook,173.01,2005-02-09,2014-12-19,Termination,0
1143,Western,Retail,Engineer,483.69,2009-06-20,2020-04-09,Resignation,0
1144,South Asian,Hospitality,Clerk,214.15,2012-11-19,2022-06-17,Resignation,0
1145,South Asian,IT,Nurse,478.28,2006-05-07,2011-04-25,Resignation,0
1146,Southeast Asian,Health,Driver,138.33,2004-08-18,2015-11-07,Contract End,0
1147,African,Finance,Labourer,139.5,2007-11-01,2010-06-05,Resignation,0
1148,African,Logistics,Manager,844.4,2012-01-08,2018-03-01,Resignation,0
1149,Southeast Asian,Finance,Accountant,349.55,2011-09-23,2020-04-18,Resignation,0
1150,South Asian,Retail,Manager,1890.21,2006-03-16,2015-09-01,Resignation,0
1151,South Asian,Logistics,Accountant,436.91,2011-05-06,2020-12-03,Termination,1
1152,South Asian,IT,Clerk,187.54,2014-06-25,2018-07-09,Resignation,1
1153,South Asian,Finance,Clerk,177.93,2018-04-26,2024-02-03,Resignation,0
1154,South Asian,Retail,IT Professional,791.7,2014-12-26,2020-01-04,Termination,0
1155,Arab,Oil & Gas,Cook,188.25,2011-08-19,2023-03-26,Termination,1
1156,Southeast Asian,Construction,Plumber,217.1,2012-11-04,2016-09-15,Resignation,0
1157,Arab,Oil & Gas,Accountant,374.13,2009-02-19,2013-09-01,Resignation,0
1158,Arab,Hospitality,Clerk,210.07,2017-11-24,2024-10-10,Resignation,1
1159,Southeast Asian,Construction,Helper,144.41,2016-01-25,2021-09-09,Resignation,0
1160,Arab,Logistics,Accountant,219.85,2014-07-13,2022-11-05,Contract End,0
1161,Arab,Retail,Clerk,246.51,2012-09-08,2014-05-30,Contract End,0
1162,South Asian,Construction,Electrician,157.31,2014-08-27,2022-01-18,Resignation,0
1163,South Asian,Logistics,Helper,109.95,2004-10-30,2012-08-04,Resignation,0
1164,South Asian,Logistics,Accountant,330.82,2001-09-29,2010-01-13,Termination,0
1165,South Asian,Oil & Gas,IT Professional,658.0,2017-11-18,2022-02-18,Contract End,0
1166,Arab,Construction,Electrician,229.68,2006-02-13,2015-09-03,Contract End,0
1167,Arab,Oil & Gas,Nurse,364.91,2019-05-28,2022-12-21,Resignation,0
1168,Southeast Asian,Health,Driver,158.36,2011-12-07,2014-02-09,Resignation,0
1169,Southeast Asian,Construction,Clerk,178.92,2015-01-18,2020-11-17,Termination,1
1170,South Asian,Retail,Electrician,248.89,2002-08-18,2011-03-19,Termination,0
1171,South Asian,Construction,Plumber,198.73,2004-05-16,2015-04-08,Resignation,0
1172,South Asian,Construction,Accountant,375.89,2005-06-20,2016-01-22,Resignation,1
1173,Southeast Asian,Retail,Helper,128.83,2007-03-05,2019-01-26,Contract End,0
1174,Arab,Health,Engineer,624.34,2006-05-28,2017-03-14,Resignation,0
1175,Southeast Asian,Logistics,Nurse,332.1,2006-07-08,2016-09-27,Resignation,0
1176,South Asian,IT,Helper,100.12,2006-02-09,2014-07-31,Resignation,0
1177,Southeast Asian,Retail,Cook,150.64,2005-07-04,2014-08-21,Resignation,0
1178,South Asian,Retail,Nurse,389.05,2009-11-05,2019-08-01,Contract End,0
1179,South Asian,Hospitality,Cook,143.35,2011-12-01,2015-09-27,Resignation,1
1180,South Asian,Construction,Plumber,170.25,2012-03-05,2023-06-01,Termination,1
1181,Southeast Asian,Retail,Clerk,230.05,2011-12-11,2023-01-04,Termination,1
1182,Southeast Asian,Health,Engineer,825.96,2005-08-21,2015-06-06,Resignation,0
1183,African,Construction,Plumber,156.74,2001-05-22,2011-10-28,Resignation,0
1184,Southeast Asian,Oil & Gas,Helper,114.06,2004-08-15,2015-12-02,Contract End,1
1185,South Asian,Hospitality,Nurse,343.27,2013-07-14,2022-03-23,Termination,1
1186,South Asian,Finance,Accountant,386.03,2012-06-14,2023-11-30,Resignation,0
1187,Arab,Retail,Electrician,224.32,2013-05-22,2021-07-31,Resignation,0
1188,Western,Oil & Gas,Electrician,126.38,2015-07-19,2024-01-05,Resignation,0
1189,South Asian,Oil & Gas,Accountant,230.03,2006-02-01,2016-04-16,Resignation,0
1190,Southeast Asian,Construction,Manager,998.5,2021-01-06,2023-04-30,Resignation,0
1191,Arab,Retail,Labourer,133.53,2021-02-28,2024-11-10,Termination,0
1192,Southeast Asian,Hospitality,Cook,180.93,2012-10-01,2021-08-30,Termination,0
1193,Arab,Construction,Driver,132.25,2006-05-11,2011-10-30,Resignation,0
1194,Arab,Hospitality,Clerk,183.34,2013-03-12,2020-11-15,Termination,1
1195,South Asian,Construction,Manager,1633.61,2014-03-13,2017-09-27,Resignation,0
1196,Southeast Asian,Construction,Clerk,155.33,2010-01-04,2011-02-14,Termination,1
1197,Southeast Asian,IT,Accountant,272.22,2013-04-03,2024-11-11,Resignation,0
1198,South Asian,Oil & Gas,Accountant,447.35,2011-05-10,2021-07-31,Resignation,0
1199,South Asian,Retail,Manager,856.18,2013-09-03,2018-12-09,Resignation,0
1200,South Asian,Logistics,Manager,576.23,2005-06-08,2011-07-22,Resignation,0
1201,South Asian,Construction,Driver,129.27,2014-10-14,2020-09-23,Resignation,0
1202,African,Construction,Electrician,217.02,2016-12-24,2022-07-24,Contract End,1
1203,Southeast Asian,Oil & Gas,Electrician,147.12,2005-11-15,2015-01-28,Resignation,0
1204,Western,Construction,Cook,212.98,2010-08-20,2017-09-17,Resignation,0
1205,South Asian,Hospitality,Plumber,183.87,2012-09-26,2019-03-20,Resignation,0
1206,South Asian,Construction,Driver,151.27,2005-02-13,2013-07-22,Resignation,0
1207,Southeast Asian,Oil & Gas,Helper,112.24,2014-11-01,2022-12-09,Resignation,0
1208,South Asian,Construction,Electrician,227.11,2012-07-16,2019-03-26,Resignation,0
1209,South Asian,Construction,Plumber,196.65,2022-04-12,2024-01-03,Resignation,0
1210,South Asian,Finance,Driver,130.24,2015-11-01,2023-03-07,Termination,0
1211,South Asian,Oil & Gas,Manager,1611.88,2012-03-26,2018-04-02,Termination,0
1212,South Asian,Finance,Manager,869.77,2005-11-28,2015-03-23,Termination,0
1213,South Asian,Retail,Electrician,239.68,2017-08-27,2021-01-16,Termination,1
1214,South Asian,Logistics,Clerk,226.07,2007-09-12,2019-03-11,Resignation,0
1215,Arab,Construction,Driver,164.59,2015-12-04,2020-03-03,Resignation,0
1216,Southeast Asian,Health,Electrician,187.44,2003-03-22,2014-07-02,Resignation,0
1217,South Asian,IT,Clerk,166.88,2003-03-25,2012-06-22,Resignation,0
1218,South Asian,Construction,Clerk,151.66,2010-07-16,2017-09-26,Resignation,1
1219,Southeast Asian,Oil & Gas,Plumber,176.18,2009-02-03,2019-09-08,Termination,0
1220,Southeast Asian,Oil & Gas,Plumber,181.54,2004-02-22,2014-09-26,Resignation,0
1221,South Asian,Logistics,Engineer,967.71,2010-04-21,2013-05-06,Resignation,0
1222,South Asian,Logistics,IT Professional,309.44,2016-11-18,2023-01-26,Termination,0
1223,South Asian,Finance,Cook,142.25,2012-08-01,2022-09-12,Termination,0
1224,South Asian,Logistics,Helper,111.96,2004-05-23,2011-09-15,Termination,0
1225,South Asian,Oil & Gas,Accountant,413.82,2015-01-06,2017-06-16,Resignation,0
1226,South Asian,Retail,IT Professional,306.49,2010-12-18,2019-02-16,Termination,0
1227,Arab,Construction,Manager,1255.78,2002-09-13,2012-01-16,Resignation,0
1228,South Asian,Logistics,Electrician,212.24,2011-03-25,2015-11-15,Resignation,0
1229,Arab,Construction,Labourer,113.58,2015-04-14,2017-03-01,Termination,0
1230,Southeast Asian,Construction,Labourer,121.34,2002-08-26,2012-01-03,Termination,1
1231,South Asian,Health,Engineer,649.35,2010-05-24,2013-08-25,Resignation,0
1232,South Asian,Retail,Plumber,135.87,2000-02-23,2010-01-17,Contract End,0
1233,South Asian,Finance,Accountant,309.22,2009-04-03,2014-03-12,Resignation,0
1234,South Asian,Hospitality,Engineer,1096.02,2006-09-25,2010-10-26,Resignation,0
1235,South Asian,Oil & Gas,Accountant,200.48,2000-11-05,2012-02-26,Resignation,0
1236,Southeast Asian,Construction,Clerk,169.49,2007-03-24,2013-04-07,Resignation,0
1237,South Asian,Retail,Labourer,132.22,2018-02-01,2021-03-15,Resignation,0
1238,South Asian,Oil & Gas,Electrician,177.7,2012-08-09,2019-08-23,Termination,0
1239,Southeast Asian,Construction,Helper,101.3,2012-02-09,2023-03-22,Resignation,0
1240,South Asian,Oil & Gas,Engineer,786.88,2004-02-13,2014-11-22,Resignation,0
1241,Southeast Asian,Hospitality,Electrician,226.25,2022-12-28,2024-11-26,Termination,0
1242,Western,Retail,Cook,216.71,2020-06-12,2022-11-23,Resignation,0
1243,South Asian,Retail,Driver,183.62,2003-10-22,2014-01-27,Resignation,0
1244,South Asian,Retail,Driver,174.3,2008-02-26,2012-10-21,Termination,0
1245,Southeast Asian,Logistics,Helper,139.82,2012-01-27,2016-11-23,Resignation,0
1246,South Asian,Hospitality,Clerk,196.29,2012-03-06,2017-07-29,Resignation,0
1247,South Asian,Construction,Engineer,453.5,2005-12-29,2011-07-31,Contract End,0
1248,South Asian,Retail,Clerk,248.55,2019-01-10,2023-02-09,Termination,0
1249,Arab,Construction,Nurse,381.24,2011-04-23,2012-11-12,Termination,1
1250,South Asian,IT,Plumber,181.99,2011-10-31,2017-03-22,Resignation,0
1251,Southeast Asian,Construction,Plumber,181.82,2005-10-17,2017-08-22,Resignation,0
1252,Arab,Retail,Cook,121.89,2009-10-16,2019-02-01,Resignation,0
1253,South Asian,Construction,Helper,100.44,2005-07-06,2013-08-24,Resignation,0
1254,Arab,Retail,Nurse,522.15,2021-02-08,2022-06-03,Resignation,1
1255,South Asian,Health,Electrician,146.43,2009-07-13,2012-01-06,Resignation,1
1256,African,IT,Electrician,220.11,2011-01-21,2012-09-11,Resignation,0
1257,South Asian,IT,Electrician,206.62,2020-08-09,2024-10-20,Contract End,0
1258,Arab,Retail,Helper,101.32,2015-10-28,2019-05-21,Termination,0
1259,South Asian,Retail,Accountant,391.4,2001-02-18,2010-06-27,Resignation,0
1260,South Asian,Retail,Labourer,124.44,2012-01-15,2013-12-18,Resignation,0
1261,South Asian,Construction,Labourer,102.59,2000-10-29,2011-01-07,Resignation,0
1262,South Asian,Health,Driver,161.62,2017-03-27,2022-02-25,Resignation,0
1263,South Asian,Construction,IT Professional,565.44,2013-11-07,2016-01-25,Resignation,0
1264,South Asian,Retail,Manager,1507.42,2013-05-07,2018-05-17,Resignation,0
1265,Southeast Asian,Construction,Driver,190.52,2004-09-30,2015-04-03,Contract End,0
1266,South Asian,Finance,Cook,122.4,2014-09-01,2022-12-11,Contract End,0
1267,South Asian,Hospitality,Electrician,202.85,2012-01-04,2022-01-09,Resignation,0
1268,South Asian,Retail,Cook,195.07,2013-04-16,2018-02-28,Termination,0
1269,South Asian,Oil & Gas,Plumber,221.97,2014-03-14,2021-04-27,Termination,0
1270,Arab,Oil & Gas,IT Professional,334.53,2016-06-19,2017-10-29,Contract End,0
1271,South Asian,Retail,Driver,168.26,2011-04-27,2018-04-18,Resignation,0
1272,South Asian,Retail,Plumber,138.19,2004-05-31,2013-07-21,Resignation,0
1273,South Asian,Retail,Cook,164.04,2020-10-05,2023-11-23,Resignation,0
1274,South Asian,Retail,Manager,1844.81,2007-11-01,2017-06-07,Contract End,0
1275,South Asian,Construction,Nurse,585.39,2009-06-20,2015-10-13,Termination,0
1276,South Asian,Construction,Labourer,119.53,2010-07-02,2011-07-12,Resignation,0
1277,African,Oil & Gas,Driver,194.67,2006-07-27,2012-10-18,Resignation,0
1278,Arab,Construction,Engineer,1142.69,2009-07-27,2014-06-05,Resignation,0
1279,South Asian,Oil & Gas,Cook,178.49,2015-12-25,2019-07-13,Resignation,0
1280,South Asian,Finance,Electrician,156.47,2012-09-16,2021-02-09,Resignation,0
1281,Southeast Asian,IT,Electrician,196.13,2019-09-12,2020-12-16,Termination,0
1282,South Asian,Finance,Driver,195.97,2006-04-22,2013-02-21,Resignation,0
1283,Arab,Construction,Engineer,644.64,2011-07-19,2017-03-28,Resignation,0
1284,Southeast Asian,IT,Electrician,212.02,2022-05-24,2024-04-19,Resignation,0
1285,South Asian,Retail,Manager,1573.42,2011-09-27,2019-02-19,Resignation,0
1286,Arab,Construction,Electrician,192.78,2009-11-06,2016-09-27,Termination,0
1287,South Asian,Retail,Cook,207.37,2006-05-23,2016-12-27,Termination,0
1288,South Asian,Oil & Gas,Electrician,177.01,2010-02-06,2016-04-05,Termination,0
1289,South Asian,Retail,Nurse,468.83,2019-03-24,2020-10-01,Resignation,0
1290,Western,Oil & Gas,Driver,183.28,2007-02-20,2012-09-21,Contract End,0
1291,South Asian,Construction,Helper,136.31,2015-06-05,2017-03-06,Termination,0
1292,South Asian,Construction,Labourer,117.06,2010-02-24,2015-05-11,Resignation,0
1293,South Asian,Construction,IT Professional,449.8,2010-07-01,2014-04-06,Resignation,0
1294,South Asian,Hospitality,Engineer,1017.93,2007-08-12,2011-12-04,Contract End,0
1295,South Asian,Finance,Driver,164.01,2006-11-13,2012-10-19,Termination,0
1296,South Asian,Logistics,Labourer,115.98,2005-12-20,2017-04-14,Resignation,0
1297,South Asian,Construction,Cook,214.2,2006-01-21,2010-08-14,Resignation,0
1298,Arab,Hospitality,Clerk,229.47,2001-10-27,2013-10-16,Resignation,0
1299,South Asian,Oil & Gas,Accountant,282.11,2009-01-21,2013-09-10,Resignation,0
1300,South Asian,Hospitality,IT Professional,606.8,2004-01-31,2013-07-15,Resignation,0
1301,African,Construction,Nurse,530.06,2005-07-18,2012-10-15,Resignation,0
1302,South Asian,Oil & Gas,Manager,746.35,2010-10-23,2011-11-03,Termination,1
1303,Southeast Asian,Retail,Driver,186.61,2006-02-21,2013-10-06,Termination,0
1304,South Asian,Retail,IT Professional,365.93,2008-10-13,2020-02-05,Termination,0
1305,South Asian,Construction,Helper,128.58,2002-03-23,2011-04-27,Resignation,0
1306,South Asian,Retail,Driver,155.47,2003-05-14,2012-11-16,Termination,0
1307,South Asian,Construction,Accountant,242.56,2018-09-15,2020-08-04,Termination,0
1308,South Asian,Retail,Nurse,369.5,2017-02-07,2018-10-03,Resignation,0
1309,Southeast Asian,Construction,Clerk,221.7,2004-01-16,2011-01-23,Contract End,0
1310,South Asian,Hospitality,Nurse,482.15,2013-09-12,2014-10-07,Resignation,0
1311,South Asian,Construction,Electrician,188.3,2011-04-13,2017-07-30,Termination,0
1312,Southeast Asian,Construction,Helper,107.76,2013-06-27,2022-09-07,Resignation,1
1313,Arab,Oil & Gas,Engineer,814.64,2011-03-04,2018-02-08,Termination,0
1314,Southeast Asian,Health,Clerk,222.48,2017-07-23,2018-10-17,Termination,1
1315,Southeast Asian,IT,IT Professional,468.55,2018-07-23,2023-01-17,Resignation,0
1316,South Asian,Retail,Labourer,112.15,2012-05-19,2020-10-18,Resignation,0
1317,South Asian,Retail,Labourer,120.44,2004-02-25,2010-05-04,Termination,0
1318,Southeast Asian,Logistics,Accountant,412.36,2011-12-23,2017-03-28,Resignation,0
1319,South Asian,Construction,Nurse,595.98,2016-06-04,2023-04-17,Termination,1
1320,South Asian,Construction,Plumber,178.06,2001-05-12,2010-11-05,Resignation,0
1321,South Asian,Logistics,IT Professional,576.51,2011-02-22,2017-12-09,Resignation,0
1322,Southeast Asian,Hospitality,IT Professional,772.26,2004-12-14,2015-08-07,Resignation,0
1323,South Asian,Logistics,Engineer,851.64,2012-12-11,2024-06-16,Termination,1
1324,Southeast Asian,Logistics,Driver,127.27,2015-04-27,2024-05-30,Resignation,0
1325,Southeast Asian,Hospitality,Clerk,181.27,2002-12-15,2012-06-21,Contract End,0
1326,Arab,Construction,Driver,161.44,2019-11-13,2021-03-01,Resignation,0
